int(self),tree_cov,n_respectful_sheperd,n_disrespectful_sheperd,global_min_size,avg_grove_size,current_date.month,current_date.year
0,0.5656,10,0,9.0,37.8888,6,1979
0,0.564,10,0,9.0,37.9064,7,1979
0,0.566,10,0,9.0,37.932,8,1979
0,0.5656,10,0,9.0,37.8208,9,1979
0,0.5652,10,0,9.0,37.4236,10,1979
0,0.5616,10,0,9.0,37.1388,11,1979
0,0.5736,10,0,9.0,37.5772,12,1979
0,0.5736,10,0,9.0,38.0036,1,1980
0,0.5736,10,0,9.0,38.176,2,1980
0,0.566,10,0,9.0,38.182,3,1980
0,0.5696,10,0,9.0,38.2776,4,1980
0,0.5668,10,0,9.0,38.346,5,1980
0,0.5684,10,0,9.0,38.442,6,1980
0,0.5712,10,0,9.0,38.5332,7,1980
0,0.5708,10,0,9.0,38.4152,8,1980
0,0.5652,10,0,9.0,37.952,9,1980
0,0.5704,10,0,9.0,37.6228,10,1980
0,0.568,10,0,9.0,37.296,11,1980
0,0.5824,10,0,9.0,37.728,12,1980
0,0.5824,10,0,9.0,38.1456,1,1981
0,0.5824,10,0,9.0,38.3416,2,1981
0,0.5756,10,0,9.0,38.392,3,1981
0,0.582,10,0,9.0,38.5244,4,1981
0,0.58,10,0,9.0,38.5796,5,1981
0,0.5808,10,0,9.0,38.6064,6,1981
0,0.5804,10,0,9.0,38.6476,7,1981
0,0.5808,10,0,9.0,38.4668,8,1981
0,0.57,10,0,9.0,37.9344,9,1981
0,0.5768,10,0,9.0,37.5584,10,1981
0,0.5716,10,0,9.0,37.2748,11,1981
0,0.5852,10,0,9.0,37.7032,12,1981
0,0.5852,10,0,9.0,38.118,1,1982
0,0.5852,10,0,9.0,38.2756,2,1982
0,0.5776,10,0,9.0,38.2328,3,1982
0,0.5876,10,0,9.0,38.4324,4,1982
0,0.586,10,0,9.0,38.4584,5,1982
0,0.5848,10,0,9.0,38.4516,6,1982
0,0.584,10,0,9.0,38.4324,7,1982
0,0.5828,10,0,9.0,38.2836,8,1982
0,0.5756,10,0,9.0,37.886,9,1982
0,0.5812,10,0,9.0,37.7496,10,1982
0,0.582,10,0,9.0,37.6232,11,1982
0,0.5936,10,0,9.0,38.0412,12,1982
0,0.5936,10,0,9.0,38.4476,1,1983
0,0.5936,10,0,9.0,38.668,2,1983
0,0.586,10,0,9.0,38.6944,3,1983
0,0.5932,10,0,9.0,38.8804,4,1983
0,0.5892,10,0,9.0,38.878,5,1983
0,0.5924,10,0,9.0,38.916,7,1983
0,0.5896,10,0,9.0,38.7996,8,1983
0,0.5884,10,0,9.0,38.6212,9,1983
0,0.5772,10,0,9.0,38.1204,10,1983
0,0.5884,10,0,9.0,37.9228,11,1983
0,0.5968,10,0,9.0,38.3344,12,1983
0,0.5968,10,0,9.0,38.7376,1,1984
0,0.5968,10,0,9.0,38.9824,2,1984
0,0.5908,10,0,9.0,39.0936,3,1984
0,0.6008,10,0,9.0,39.29,4,1984
0,0.598,10,0,9.0,39.37,5,1984
0,0.6012,10,0,9.0,39.516,6,1984
0,0.6008,10,0,9.0,39.5328,7,1984
0,0.6004,10,0,9.0,39.4048,8,1984
0,0.5912,10,0,9.0,38.874,9,1984
0,0.5984,10,0,9.0,38.476,10,1984
0,0.5936,10,0,9.0,38.0296,11,1984
0,0.6064,10,0,9.0,38.436,12,1984
0,0.6064,10,0,9.0,38.8296,1,1985
0,0.6064,10,0,9.0,38.9268,2,1985
0,0.594,10,0,9.0,38.8116,3,1985
0,0.5996,10,0,9.0,38.914,4,1985
0,0.594,10,0,9.0,38.7904,5,1985
