int(self),tree_cov,n_respectful_sheperd,n_disrespectful_sheperd,global_min_size,avg_grove_size,current_date.month,current_date.year
0,0.5632,0,10,9.0,37.9956,6,1979
0,0.5636,0,10,9.0,38.0424,7,1979
0,0.5628,0,10,9.0,38.0156,8,1979
0,0.5604,0,10,9.0,37.8388,9,1979
0,0.5588,0,10,9.0,37.3864,10,1979
0,0.558,0,10,9.0,37.1288,11,1979
0,0.5732,0,10,9.0,37.5708,12,1979
0,0.5732,0,10,9.0,37.9976,1,1980
0,0.5732,0,10,9.0,38.1952,2,1980
0,0.5668,0,10,9.0,38.2104,3,1980
0,0.576,0,10,9.0,38.3388,4,1980
0,0.5752,0,10,9.0,38.42,5,1980
0,0.5808,0,10,9.0,38.5292,6,1980
0,0.5836,0,10,9.0,38.6396,7,1980
0,0.5852,0,10,9.0,38.5096,8,1980
0,0.5772,0,10,9.0,38.046,9,1980
0,0.5844,0,10,9.0,37.8508,10,1980
0,0.5844,0,10,9.0,37.592,11,1980
0,0.5932,0,10,9.0,38.0076,12,1980
0,0.5932,0,10,9.0,38.4144,1,1981
0,0.5932,0,10,9.0,38.6028,2,1981
0,0.5872,0,10,9.0,38.5976,3,1981
0,0.5924,0,10,9.0,38.7196,4,1981
0,0.5892,0,10,9.0,38.7384,5,1981
0,0.5912,0,10,9.0,38.7588,6,1981
0,0.5916,0,10,9.0,38.8072,7,1981
0,0.5904,0,10,9.0,38.6768,8,1981
0,0.584,0,10,9.0,38.2784,9,1981
0,0.5924,0,10,9.0,38.0936,10,1981
0,0.5864,0,10,9.0,37.7884,11,1981
0,0.5964,0,10,9.0,38.202,12,1981
0,0.5964,0,10,9.0,38.6056,1,1982
0,0.5964,0,10,9.0,38.73,2,1982
0,0.5844,0,10,9.0,38.5648,3,1982
0,0.5892,0,10,9.0,38.602,4,1982
0,0.584,0,10,9.0,38.5412,5,1982
0,0.5872,0,10,9.0,38.4808,6,1982
0,0.586,0,10,9.0,38.4316,7,1982
0,0.586,0,10,9.0,38.2424,8,1982
0,0.5752,0,10,9.0,37.8668,9,1982
0,0.5808,0,10,9.0,37.6928,10,1982
0,0.5784,0,10,9.0,37.4804,11,1982
0,0.592,0,10,9.0,37.902,12,1982
0,0.592,0,10,9.0,38.31,1,1983
0,0.592,0,10,9.0,38.4952,2,1983
0,0.5844,0,10,9.0,38.4512,3,1983
0,0.588,0,10,9.0,38.4768,4,1983
0,0.5844,0,10,9.0,38.4612,5,1983
0,0.59,0,10,9.0,38.488,7,1983
0,0.5872,0,10,9.0,38.4896,8,1983
0,0.588,0,10,9.0,38.3516,9,1983
0,0.5796,0,10,9.0,37.8484,10,1983
0,0.5848,0,10,9.0,37.5472,11,1983
0,0.5928,0,10,9.0,37.9624,12,1983
0,0.5928,0,10,9.0,38.3696,1,1984
0,0.5928,0,10,9.0,38.5496,2,1984
0,0.5848,0,10,9.0,38.558,3,1984
0,0.5908,0,10,9.0,38.704,4,1984
0,0.59,0,10,9.0,38.7492,5,1984
0,0.5928,0,10,9.0,38.8588,6,1984
0,0.5932,0,10,9.0,38.924,7,1984
0,0.59,0,10,9.0,38.7852,8,1984
0,0.58,0,10,9.0,38.2844,9,1984
0,0.5848,0,10,9.0,37.9856,10,1984
0,0.5768,0,10,9.0,37.61,11,1984
0,0.5876,0,10,9.0,38.0332,12,1984
0,0.5876,0,10,9.0,38.4456,1,1985
0,0.5876,0,10,9.0,38.5352,2,1985
0,0.5764,0,10,9.0,38.3928,3,1985
0,0.5836,0,10,9.0,38.4808,4,1985
0,0.58,0,10,9.0,38.4828,5,1985
0,0.578,0,10,9.0,38.4732,6,1985
0,0.5808,0,10,9.0,38.444,7,1985
0,0.5812,0,10,9.0,38.2968,8,1985
0,0.5712,0,10,9.0,37.8304,9,1985
0,0.5756,0,10,9.0,37.6796,10,1985
0,0.5728,0,10,9.0,37.394,11,1985
0,0.5844,0,10,9.0,37.8212,12,1985
0,0.5844,0,10,9.0,38.2368,1,1986
0,0.5844,0,10,9.0,38.3816,2,1986
0,0.5732,0,10,9.0,38.2724,3,1986
0,0.582,0,10,9.0,38.3848,4,1986
0,0.5764,0,10,9.0,38.3416,5,1986
0,0.5792,0,10,9.0,38.3956,6,1986
0,0.582,0,10,9.0,38.3892,7,1986
0,0.5836,0,10,9.0,38.262,8,1986
0,0.5776,0,10,9.0,37.7828,9,1986
0,0.5808,0,10,9.0,37.5312,10,1986
0,0.5792,0,10,9.0,37.3228,11,1986
0,0.5892,0,10,9.0,37.7436,12,1986
0,0.5892,0,10,9.0,38.1544,1,1987
0,0.5892,0,10,9.0,38.354,2,1987
0,0.5796,0,10,9.0,38.3476,3,1987
0,0.5844,0,10,9.0,38.4904,4,1987
0,0.584,0,10,9.0,38.4788,5,1987
0,0.5856,0,10,9.0,38.4908,6,1987
0,0.584,0,10,9.0,38.4584,7,1987
0,0.5832,0,10,9.0,38.282,8,1987
0,0.572,0,10,9.0,37.7544,9,1987
0,0.5796,0,10,9.0,37.4596,10,1987
0,0.5776,0,10,9.0,37.1316,11,1987
0,0.5776,0,10,9.0,37.554,12,1987
0,0.5776,0,10,9.0,37.9764,1,1988
0,0.5776,0,10,9.0,38.126,3,1988
0,0.5768,0,10,9.0,38.0268,4,1988
0,0.574,0,10,9.0,38.0772,5,1988
0,0.572,0,10,9.0,38.0328,6,1988
0,0.57,0,10,9.0,38.0616,7,1988
0,0.5648,0,10,9.0,37.9776,8,1988
0,0.5652,0,10,9.0,37.842,9,1988
0,0.564,0,10,9.0,37.3224,10,1988
0,0.5652,0,10,9.0,37.098,11,1988
0,0.5768,0,10,9.0,37.5328,12,1988
0,0.5768,0,10,9.0,37.956,1,1989
0,0.5768,0,10,9.0,38.182,2,1989
0,0.5692,0,10,9.0,38.246,3,1989
0,0.5744,0,10,9.0,38.3816,4,1989
0,0.5708,0,10,9.0,38.466,5,1989
0,0.574,0,10,9.0,38.594,6,1989
0,0.576,0,10,9.0,38.7,7,1989
0,0.5768,0,10,9.0,38.5652,8,1989
0,0.5652,0,10,9.0,38.0456,9,1989
0,0.5692,0,10,9.0,37.7644,10,1989
0,0.564,0,10,9.0,37.3916,11,1989
0,0.5768,0,10,9.0,37.8276,12,1989
0,0.5768,0,10,9.0,38.2508,1,1990
0,0.5768,0,10,9.0,38.4024,2,1990
0,0.5676,0,10,9.0,38.3372,3,1990
0,0.574,0,10,9.0,38.402,4,1990
0,0.5728,0,10,9.0,38.3416,5,1990
0,0.5776,0,10,9.0,38.4,6,1990
0,0.5728,0,10,9.0,38.3572,7,1990
0,0.574,0,10,9.0,38.198,8,1990
0,0.5624,0,10,9.0,37.7092,9,1990
0,0.5704,0,10,9.0,37.4872,10,1990
0,0.5664,0,10,9.0,37.2056,11,1990
0,0.5796,0,10,9.0,37.6392,12,1990
0,0.5796,0,10,9.0,38.0596,1,1991
